x,y,CellID,Channel
32,15,0,51
32,0,1,49
0,0,2,48
32,15,3,51
0,45,4,54
0,30,5,52
32,45,6,55
0,75,7,58
0,90,8,60
32,60,9,57
32,75,10,59
32,60,11,57
0,105,12,62
32,75,13,59
0,90,14,60
32,135,15,67
32,135,16,67
0,165,17,70
0,150,18,68
0,180,19,72
32,195,20,75
32,210,21,77
32,225,22,79
0,240,23,80
32,255,24,83
0,240,25,80
0,240,26,80
0,300,27,88
32,330,28,93
32,345,29,95
32,375,30,147
32,345,31,95
0,375,32,146
32,405,33,151
0,390,34,148
0,390,35,148
0,420,36,152
32,390,37,149
0,435,38,154
32,465,39,159
32,450,40,157
0,465,41,158
0,495,42,162
32,495,43,163
32,495,44,163
32,525,45,167
32,540,46,169
32,540,47,169
32,540,48,169
32,540,49,169
0,585,50,174
32,630,51,181
32,600,52,177
0,615,53,178
32,630,54,181
0,645,55,182
0,645,56,182
0,645,57,182
0,630,58,180
0,660,59,184
0,630,60,180
0,675,61,186
0,660,62,184
0,660,63,184
0,675,64,186
32,705,65,191
32,720,66,1
0,735,67,2
32,720,68,1
0,720,69,0
0,765,70,6
0,750,71,4
0,750,72,4
32,750,73,5
0,765,74,6
32,795,75,11
32,795,76,11
32,825,77,15
0,825,78,14
32,825,79,15
32,840,80,17
32,855,81,19
32,840,82,17
32,885,83,23
32,885,84,23
0,915,85,26
32,945,86,31
0,945,87,30
32,975,88,35
0,975,89,34
32,1005,90,39
32,1020,91,41
0,1035,92,42
32,1020,93,41
0,1065,94,46
0,1065,95,46
32,1050,96,45
0,1050,97,44
32,1065,98,47
32,1050,99,45
32,1080,100,97
0,1065,101,46
32,1125,102,103
32,1125,103,103
32,1140,104,105
0,1140,105,104
32,1170,106,109
32,1170,107,109
32,1200,108,113
0,1230,109,116
0,1245,110,118
32,1230,111,117
0,1230,112,116
0,1230,113,116
0,1260,114,120
32,1260,115,121
32,1260,116,121
0,1305,117,126
32,1290,118,125
32,1305,119,127
32,1350,120,133
32,1395,121,139
32,1395,122,139
32,1395,123,139
0,1395,124,138
0,1395,125,138
0,1395,126,138
0,1395,127,138
0,1425,128,142
32,1425,129,143
0,1440,130,192
32,1470,131,197
32,1470,132,197
32,1485,133,199
0,1500,134,200
0,1530,135,204
0,1500,136,200
32,1545,137,207
32,1560,138,209
32,1560,139,209
0,1620,140,216
32,1620,141,217
32,1620,142,217
0,1620,143,216
32,1665,144,223
32,1650,145,221
32,1665,146,223
32,1665,147,223
32,1695,148,227
0,1680,149,224
0,1680,150,224
0,1680,151,224
32,1680,152,225
32,1725,153,231
0,1710,154,228
32,1710,155,229
32,1725,156,231
0,1710,157,228
0,1725,158,230
32,1740,159,233
0,1755,160,234
32,1740,161,233
32,1740,162,233
32,1755,163,235
32,1770,164,237
32,1785,165,239
32,1785,166,239
0,1770,167,236
32,1785,168,239
32,1800,169,289
32,1800,170,289
32,1815,171,291
32,1800,172,289
0,1800,173,288
0,1800,174,288
32,1845,175,295
0,1830,176,292
32,1875,177,299
32,1875,178,299
32,1875,179,299
0,1875,180,298
32,1860,181,297
32,1875,182,299
32,1860,183,297
32,1860,184,297
32,1905,185,303
32,1905,186,303
32,1920,187,305
32,1920,188,305
32,1935,189,307
32,1920,190,305
32,1980,191,313
0,2025,192,318
32,2010,193,317
32,2010,194,317
32,2025,195,319
32,2055,196,323
0,2055,197,322
32,2055,198,323
0,2085,199,326
32,2070,200,325
32,2070,201,325
32,2070,202,325
32,2100,203,329
0,2100,204,328
0,2115,205,330
32,2100,206,329
32,2100,207,329
32,2130,208,333
32,2145,209,335
32,2160,210,241
32,2160,211,241
32,2175,212,243
32,2175,213,243
32,2175,214,243
32,2175,215,243
32,2205,216,247
0,2235,217,250
32,2220,218,249
0,2265,219,254
32,2250,220,253
32,2295,221,259
0,2295,222,258
32,2280,223,257
32,2340,224,265
32,2340,225,265
32,2370,226,269
32,2385,227,271
32,2415,228,275
0,2415,229,274
32,2400,230,273
32,2430,231,277
0,2445,232,278
32,2445,233,279
32,2430,234,277
32,2475,235,283
0,2460,236,280
32,2475,237,283
0,2505,238,286
0,2490,239,284
0,2490,240,284
32,2475,241,283
0,2505,242,286
32,2535,243,339
32,2550,244,341
32,2550,245,341
32,2565,246,343
32,2580,247,345
32,2595,248,347
32,2625,249,351
32,2655,250,355
32,2655,251,355
32,2655,252,355
32,2655,253,355
32,2685,254,359
32,2670,255,357
32,2715,256,363
0,2760,257,368
32,2730,258,365
0,2775,259,370
32,2790,260,373
32,2790,261,373
0,2790,262,372
0,2805,263,374
32,2790,264,373
32,2820,265,377
32,2790,266,373
32,2820,267,377
32,2835,268,379
32,2820,269,377
32,2865,270,383
32,2865,271,383
32,2865,272,383
